row,col,x0,y0,x1,y1,mae,rmse,ssim,foreground_iou,edge_iou
4,8,1110,599,1249,749,66.4713363647461,97.40736785531165,0.26989711386859017,0.541453873736825,0.04521995576308675
4,4,555,599,694,749,41.197731018066406,70.20315455986469,0.3283255854093751,0.6220934846440759,0.044664466446644666
4,7,971,599,1110,749,37.89144515991211,70.30121089928856,0.4401098316359237,0.1279878313776619,0.0292022792022792
0,10,1388,0,1526,150,37.168678283691406,79.94635347277416,0.4359395933653683,0.12979207277452892,0.04947839046199702
2,7,971,300,1110,450,36.927242279052734,65.60894520876136,0.3403526218165007,0.3861339229311434,0.03975058456742011
4,6,832,599,971,749,36.81838607788086,63.44037478092126,0.3587144982170109,0.42846794639623326,0.04876727174207532
1,7,971,150,1110,300,32.49502944946289,61.82585050782257,0.3503970280745996,0.41019207475341757,0.03017241379310345
0,2,278,0,416,150,31.948711395263672,72.21743494583735,0.5687267919653965,0.12227805695142378,0.04180194805194805
4,5,694,599,832,749,31.499807357788086,61.19546160855701,0.5027684624612675,0.21115842340866905,0.05254963020630596
2,6,832,300,971,450,30.11661148071289,54.70204047768122,0.2924875373958691,0.2345604262533301,0.04836309523809524
2,8,1110,300,1249,450,28.86044692993164,51.51372693273124,0.42190793822425454,0.42751440544787844,0.052324037184594954
0,3,416,0,555,150,28.299184799194336,70.06653506444785,0.5898355230238782,0.0929384965831435,0.055071315372424726
0,0,0,0,139,150,27.814453125,66.58624503111547,0.6189599093286359,0.14992076069730587,0.05306319343945972
1,8,1110,150,1249,300,25.650039672851562,45.72281093123131,0.46354538583120525,0.4283823140058247,0.028800886181113265
0,8,1110,0,1249,150,25.336002349853516,55.35876199209006,0.5520746433671154,0.18425015501815928,0.037469070342877345
0,7,971,0,1110,150,25.312917709350586,56.56978760027852,0.5662829365747805,0.24292948005434112,0.027472527472527472
3,7,971,450,1110,599,25.10305404663086,54.718611686004515,0.477925531692544,0.05968955032805249,0.03954802259887006
2,5,694,300,832,450,24.87043571472168,49.94436602126034,0.44681663542450906,0.5119427627958173,0.03684531059683313
3,4,555,450,694,599,24.770959854125977,57.29075164989001,0.4900323276972409,0.13342205955747796,0.027136046938027136
0,11,1526,0,1665,150,24.597522735595703,66.68779653753188,0.6370163371094477,0.031491554537646724,0.0199203187250996
2,4,555,300,694,450,24.565420150756836,52.92684551872046,0.4310683449968969,0.4428872628054074,0.04304635761589404
0,4,555,0,694,150,24.130199432373047,58.53645532112873,0.6179657067194546,0.31407384520315157,0.05388940955951265
1,4,555,150,694,300,23.130727767944336,51.916540220217875,0.4433498441535851,0.4629685458747865,0.03418803418803419
1,5,694,150,832,300,22.350675582885742,47.806637712508085,0.4654967814627172,0.5366678858814923,0.025856496444731737
4,9,1249,599,1388,749,22.274707794189453,52.214331612893886,0.5639178379929032,0.019538188277087035,0.007459207459207459
5,7,971,749,1110,899,21.765180587768555,50.62644432739055,0.384889474493605,0.4064360826048397,0.04299583911234397
2,10,1388,300,1526,450,21.734315872192383,52.68655934065395,0.49430009375951,0.42161885245901637,0.03153468815697267
5,8,1110,749,1249,899,21.222557067871094,49.22231881902634,0.4068182950617329,0.40945286411507836,0.05685997171145686
3,10,1388,450,1526,599,20.71695327758789,49.009821938917256,0.5821198032159792,0.3462464434230685,0.05500593589236249
3,8,1110,450,1249,599,20.697214126586914,47.14631895095311,0.5197749452510029,0.037493304767005894,0.02461294164350933
3,2,278,450,416,599,20.42359733581543,46.875395831662054,0.5379664562366245,0.12989763501588422,0.0534103211836882
0,5,694,0,832,150,20.1790828704834,53.18336178451984,0.6403738546067395,0.31710938788978715,0.03676470588235294
0,1,139,0,278,150,19.451622009277344,56.739147072782785,0.673493524516584,0.13464696223316913,0.029907558455682437
3,5,694,450,832,599,19.104368209838867,49.6295997159835,0.5668088396370011,0.07936156062957216,0.03650646950092421
1,3,416,150,555,300,18.73357391357422,46.8472626268067,0.6461755544613608,0.03894418000865426,0.0260707635009311
3,3,416,450,555,599,17.216358184814453,45.261309985909875,0.6071968860919137,0.023851368315340196,0.012213740458015267
1,10,1388,150,1526,300,16.25455665588379,45.326466058922186,0.636883262793242,0.08548553719008264,0.03231597845601436
2,2,278,300,416,450,15.096570014953613,44.268618357579925,0.6639851737745041,0.09854742238678439,0.059153493115757266
2,11,1526,300,1665,450,13.88973617553711,38.715914002775556,0.6488248581573535,0.4132881146909203,0.02016724053123463
1,2,278,150,416,300,13.709275245666504,37.72058495433064,0.740820025726549,0.18250259605399793,0.11828571428571429
2,3,416,300,555,450,13.46204662322998,43.93037454446738,0.7382104445906801,0.11913657119136571,0.05905256327060351
1,11,1526,150,1665,300,13.405707359313965,40.209828677397084,0.6979596617269227,0.10029761904761905,0.05755395683453238
1,1,139,150,278,300,12.194979667663574,39.10911125310587,0.7485335353830715,0.2514739229024943,0.047619047619047616
1,0,0,150,139,300,11.727401733398438,37.84606110046741,0.7326553566572067,0.23999052357261313,0.060191518467852256
1,9,1249,150,1388,300,11.047018051147461,35.06463061708336,0.7382062543933834,0.11270983213429256,0.03685196752029981
5,6,832,749,971,899,10.685659408569336,33.04470848394736,0.6865559714686126,0.25548387096774194,0.0381633870005963
3,6,832,450,971,599,9.380844116210938,33.1562315916537,0.7666139787287224,0.16054564533053514,0.06661619984859955
2,1,139,300,278,450,8.670071601867676,26.69800798507435,0.7228741888925002,0.3143524339859889,0.05466830466830467
2,9,1249,300,1388,450,8.64481258392334,26.42867829879303,0.752259692492939,0.2646414887794198,0.02635542168674699
3,9,1249,450,1388,599,8.210644721984863,30.007174841897186,0.7338765356143178,0.0,0.0
2,0,0,300,139,450,7.901247024536133,23.035190364248948,0.7262520386813697,0.2766071428571429,0.04339622641509434
0,9,1249,0,1388,150,7.513892650604248,32.86192148656348,0.874029023963633,0.17516152189519024,0.0297339593114241
3,11,1526,450,1665,599,7.294078826904297,27.056211379621317,0.839448495323072,0.34010018455048774,0.007009345794392523
1,6,832,150,971,300,4.205132007598877,13.95458047245095,0.8790933771357055,0.13624425476034144,0.007259528130671506
5,9,1249,749,1388,899,3.7802557945251465,15.719447459830858,0.8572751629392146,0.0,0.0
0,6,832,0,971,150,2.486586809158325,16.58638000616724,0.9690684719047622,0.17100371747211895,0.13836477987421383
5,4,555,749,694,899,1.9518145322799683,9.878826317514703,0.9394224073312574,0.0,0.0
